g__Acidaminococcus,g__Actinomyces,g__Adlercreutzia,g__Alistipes,g__Allobaculum,g__Anaerofilum,g__Anaerotruncus,g__Atopobium,g__Bacteroides,g__Bifidobacterium,g__Bilophila,g__Blautia,g__Butyricicoccus,g__Butyricimonas,g__Butyrivibrio,g__Catenibacterium,g__Christensenella,g__Clostridium,g__Collinsella,g__Coprobacillus,g__Coprococcus,g__Dialister,g__Dorea,g__Eggerthella,g__Ethanoligenens,g__Faecalibacterium,g__Gemmiger,g__Haemophilus,g__Holdemania,g__Lachnobacterium,g__Lachnospira,g__Lactobacillus,g__Megamonas,g__Megasphaera,g__Mitsuokella,g__Odoribacter,g__Parabacteroides,g__Paraprevotella,g__Peptococcus,g__Phascolarctobacterium,g__Porphyromonas,g__Prevotella,g__Propionibacterium,g__Pseudomonas,g__Roseburia,g__Ruminococcus,g__Slackia,g__Streptococcus,g__Sutterella,g__Turicibacter,g__Veillonella,g__Abiotrophia,g__Acholeplasma,g__Acinetobacter,g__Aggregatibacter,g__Akkermansia,g__Algoriphagus,g__Anaerobiospirillum,g__Anaeroplasma,g__Anaerostipes,g__Asteroleplasma,g__Bacillus,g__Barnesiella,g__Bulleidia,g__Campylobacter,g__Capnocytophaga,g__Clavibacter,g__Cloacibacillus,g__Coraliomargarita,g__Desulfonispora,g__Desulfovibrio,g__Elusimicrobium,g__Enhydrobacter,g__Enterococcus,g__Escherichia,g__Eubacterium,g__Facklamia,g__Faecalicoccus,g__Faecalitalea,g__Flavobacterium,g__Fodinicurvata,g__Fructobacillus,g__Fusobacterium,g__Gardnerella,g__Geofilum,g__Gloeobacter,g__Granulicatella,g__Hespellia,g__Holdemanella,g__Hungatella,g__Insolitispirillum,g__Intestinibacter,g__Jejuia,g__Kandleria,g__Klebsiella,g__Lachnoclostridium,g__Lactococcus,g__Lentisphaera,g__Leuconostoc,g__Marivirga,g__Marvinbryantia,g__Methanobrevibacter,g__Methanosphaera,g__Mogibacterium,g__Mycoplasma,g__Olsenella,g__Oscillibacter,g__Oxalobacter,g__Paenibacillus,g__Paeniclostridium,g__Paludibacter,g__Papillibacter,g__Parasutterella,g__Parvimonas,g__Pectinatus,g__Peptoniphilus,g__Peptostreptococcus,g__Proteus,g__Pseudobacteroides,g__Pseudobutyrivibrio,g__Pyramidobacter,g__Ruminiclostridium,g__Saccharofermentans,g__Sharpea,g__Solobacterium,g__Spiroplasma,g__Sporobacter,g__Sporosarcina,g__Staphylococcus,g__Streptomyces,g__Succinivibrio,g__Tannerella,g__Terrisporobacter,g__Tissierella,g__Treponema,g__Tyzzerella,g__Ureibacillus,g__Varibaculum,g__Verrucomicrobium,g__Victivallis,g__Weissella,g__Brachyspira
0.0,0.0891246,0.0,0.0,0.0,0.0,0.0,0.0,0.07001603,0.0,0.0,0.05298091,0.0,0.0,0.0,0.0,0.0,0.12918632,0.0,0.0,0.054519784,0.0,0.0786339,0.0,0.0,0.070505545,0.0,0.0792506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11226376,0.067272566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11476546,0.08148051,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.06303261,0.0,0.14971383,0.0,0.0,0.0,0.085494936,0.0,0.0,0.060236003,0.0,0.0,0.0,0.082973495,0.0,0.0,0.073822595,0.0,0.05425198,0.0,0.038250994,0.0,0.0,0.055236604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052179508,0.081142254,0.0,0.0,0.0,0.12926324,0.0,0.0,0.0,0.07440191,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.12759982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10116814,0.07550306,0.0,0.074125744,0.0,0.0,0.0,0.0,0.05773211,0.0,0.0,0.0,0.0,0.0,0.09069506,0.0,0.06813777,0.0,0.0,0.07584215,0.0851408,0.0,0.0,0.0,0.08364493,0.0,0.0,0.0,0.08909377,0.0,0.07131662,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.09123798,0.0,0.0,0.0,0.0,0.059577573,0.0,0.0,0.0,0.0,0.09283466,0.0,0.0,0.0,0.0,0.0,0.0,0.10772384,0.08957581,0.0,0.0,0.0,0.05553677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13544153,0.05388592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11054354,0.0,0.0731357,0.0,0.0,0.1305066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10349467,0.0,0.0,0.07000399,0.08822907,0.0,0.0,0.0,0.0,0.13003886,0.061928384,0.0,0.07506369,0.08754054,0.077495575,0.0,0.0,0.053860396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.107122436,0.0,0.0,0.0,0.08254558,0.0,0.0626769,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06858618,0.0,0.0,0.054291066,0.0,0.0,0.0,0.0,0.0,0.0,0.082210794,0.0,0.075729005,0.0,0.054138914,0.0,0.0,0.06765329,0.0,0.08347987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058228243,0.0,0.0,0.052638907,0.0,0.0,0.0,0.0,0.09248688,0.116450705,0.0,0.077090934,0.0,0.0,0.1170152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06442573,0.0,0.0,0.0939203,0.0,0.11976028,0.0,0.0,0.0,0.0,0.0,0.0,0.09426457,0.0,0.15082528,0.0,0.0,0.12989578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08370838,0.049603835,0.0,0.0,0.09030864,0.0,0.0,0.0,0.0,0.0,0.12328718,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.097719654,0.0,0.0,0.0,0.0,0.0,0.17253904,0.0,0.0,0.12991309,0.16977534,0.09280232,0.13234717,0.0,0.10149365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10340983,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05892905,0.0,0.0,0.14272836,0.16656795,0.11103475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06347564,0.1009145,0.0,0.081961274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061143126,0.0,0.0,0.12529394,0.0,0.0,0.0,0.0,0.0,0.08795142,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08614105,0.0,0.0,0.06469031,0.11021322,0.0,0.0,0.0,0.0,0.15465221,0.10895661,0.0,0.083835945,0.10296921,0.0,0.0,0.0,0.061054286,0.0,0.07067868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.066057205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09075131,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
