g__Abiotrophia,g__Acidaminococcus,g__Actinobacillus,g__Actinomyces,g__Adlercreutzia,g__Aeromonas,g__Aggregatibacter,g__Akkermansia,g__Alistipes,g__Alloprevotella,g__Alloscardovia,g__Anaerococcus,g__Anaerofustis,g__Anaeroglobus,g__Anaerostipes,g__Anaerotruncus,g__Atopobium,g__Bacteroides,g__Barnesiella,g__Bifidobacterium,g__Bilophila,g__Blautia,g__Bulleidia,g__Butyricicoccus,g__Butyrivibrio,g__Campylobacter,g__Catenibacterium,g__Cetobacterium,g__Citrobacter,g__Clostridium,g__Collinsella,g__Coprobacillus,g__Coprobacter,g__Coprococcus,g__Corynebacterium,g__Desulfovibrio,g__Dialister,g__Dorea,g__Dysgonomonas,g__Eggerthella,g__Eggerthia,g__Eikenella,g__Enterobacter,g__Enterococcus,g__Escherichia,g__Eubacterium,g__Faecalibacterium,g__Filifactor,g__Finegoldia,g__Flavonifractor,g__Fretibacterium,g__Fusobacterium,g__Gardnerella,g__Gemella,g__Gordonibacter,g__Granulicatella,g__Haemophilus,g__Hafnia,g__Holdemania,g__Klebsiella,g__Lactobacillus,g__Lactococcus,g__Leptotrichia,g__Leuconostoc,g__Marvinbryantia,g__Megamonas,g__Megasphaera,g__Methanobrevibacter,g__Methanosphaera,g__Mitsuokella,g__Mogibacterium,g__Morganella,g__Odoribacter,g__Olsenella,g__Oribacterium,g__Oscillibacter,g__Oxalobacter,g__Parabacteroides,g__Paraprevotella,g__Parascardovia,g__Parasutterella,g__Parvimonas,g__Pediococcus,g__Peptoniphilus,g__Peptostreptococcus,g__Phascolarctobacterium,g__Porphyromonas,g__Prevotella,g__Propionibacterium,g__Proteus,g__Pseudoflavonifractor,g__Pseudomonas,g__Pyramidobacter,g__Raoultella,g__Roseburia,g__Rothia,g__Ruminococcus,g__Scardovia,g__Selenomonas,g__Shigella,g__Slackia,g__Solobacterium,g__Streptococcus,g__Subdoligranulum,g__Succinatimonas,g__Sutterella,g__Synergistes,g__Treponema,g__Turicibacter,g__Veillonella,g__Weissella,g__Brevibacterium,g__Varibaculum,g__Cronobacter,g__Staphylococcus,g__Brachyspira,g__Cellulosilyticum,g__Helicobacter,g__Catonella,g__Lysinibacillus,g__Methanobacterium
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09199863,0.0,0.0,0.0,0.0,0.0,0.040884025,0.0,0.04573037,0.025480477,0.0,0.014257838,0.017053643,0.04986823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036298156,0.043624315,0.0,0.0,0.0,0.0,0.04208483,0.0,0.012362951,0.0,0.02098835,0.0,0.0,0.0,0.0,0.027704736,0.018657738,0.029782342,0.0,0.0,0.023723822,0.0,0.04818103,0.0,0.0,0.0,0.070691444,0.024204785,0.0,0.0,0.035014678,0.0,0.0,0.0,0.0,0.0,0.04393439,0.013829617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02230151,0.0,0.0,0.016609281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03193906,0.0,0.019195927,0.0,0.0,0.0,0.0,0.0,0.041199394,0.015948601,0.0,0.0,0.0,0.0,0.0,0.076449856,0.0,,,,,,,,,,
0.0,0.0,0.0,0.047778647,0.00995891,0.0,0.0,0.028605262,0.016831908,0.0,0.0,0.0,0.0,0.0,0.037922718,0.01871718,0.0,0.01744203,0.014589886,0.05793897,0.010092756,0.04515558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019122992,0.018150575,0.0,0.01690413,0.014849072,0.0,0.014310971,0.015788153,0.016533708,0.0,0.0,0.0,0.0,0.012905993,0.0,0.010025493,0.008496122,0.019495491,0.0,0.0,0.012930868,0.0,0.0,0.0,0.01353971,0.0,0.055286407,0.033425156,0.0,0.015026876,0.010483503,0.0,0.023199428,0.0,0.015934944,0.0,0.011905536,0.012907105,0.013338627,0.0,0.0,0.0,0.0,0.016936857,0.018779583,0.0,0.025803683,0.0122879995,0.013470789,0.009749381,0.0,0.0,0.017422304,0.0,0.0,0.024157317,0.0,0.0,0.0077119884,0.0,0.0,0.0,0.0,0.0,0.0,0.020114291,0.018158743,0.009798172,0.0,0.0,0.0,0.0,0.0,0.035431683,0.0063948496,0.0,0.0,0.0,0.0,0.0,0.05769968,0.016487991,,,,,,,,,,
0.0,0.01726757,0.0,0.0,0.009283424,0.0,0.0,0.027282678,0.022527564,0.0,0.0,0.0,0.0,0.0,0.047953207,0.016251206,0.0,0.022391196,0.011797274,0.013214551,0.018841434,0.018732494,0.0,0.0,0.0,0.0,0.028570937,0.0,0.019027496,0.013216195,0.017193338,0.0099638,0.0,0.008906512,0.0,0.0,0.0,0.019266425,0.0,0.0,0.0,0.0,0.0,0.028791655,0.009320596,0.012935992,0.014686524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014725431,0.015573047,0.084111266,0.020271052,0.0,0.0,0.0,0.01672442,0.0,0.021588558,0.0,0.0,0.0,0.0,0.019324662,0.0,0.0,0.0154534,0.011439744,0.012201318,0.0,0.0,0.0,0.022949658,0.0,0.0,0.021325799,0.0,0.067296244,0.0,0.0,0.015752738,0.0091473125,0.0,0.0,0.0,0.02172136,0.058869276,0.014168633,0.0,0.0,0.0,0.0,0.0,0.03379992,0.009733367,0.0,0.0,0.0,0.0,0.0,0.06568965,0.020711167,,,,,,,,,,
0.017429797,0.0,0.0,0.037508003,0.0,0.0,0.012336326,0.057266526,0.027756678,0.0,0.0,0.0,0.0,0.0,0.0,0.0133756045,0.017646242,0.01710404,0.023122953,0.021841897,0.012095381,0.010034791,0.0,0.0,0.0,0.024285773,0.0,0.0,0.01524116,0.014941302,0.0128535675,0.0,0.0,0.013503937,0.032758616,0.013958994,0.0,0.013209748,0.0,0.012430935,0.0,0.0,0.013300727,0.0,0.014565086,0.016084112,0.01505861,0.0,0.0,0.014608128,0.0,0.012395927,0.0,0.012797559,0.008380663,0.028927868,0.0,0.013546381,0.010639365,0.015632218,0.0,0.0,0.0,0.0,0.0,0.012885935,0.0128049925,0.0,0.0,0.0,0.0,0.0,0.019620216,0.0,0.0,0.023957273,0.0,0.025486274,0.0,0.0,0.029040053,0.011943804,0.0,0.0,0.019586695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016372228,0.011686023,0.05576155,0.011923336,0.0,0.0,0.0,0.0,0.020550516,0.039709277,0.013743098,0.0,0.0,0.0,0.0,0.0,0.07828982,0.0,,,,,,,,,,
0.0,0.01726707,0.0,0.0,0.0,0.0,0.018271707,0.055166926,0.04163193,0.0,0.0,0.0,0.0,0.0,0.051082235,0.018905366,0.0,0.015474006,0.03031202,0.017474331,0.01907434,0.010801389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017250638,0.019956762,0.010229357,0.0,0.0,0.0,0.0,0.0,0.012901918,0.0,0.012933475,0.0,0.012715206,0.017890243,0.0,0.013105129,0.014570725,0.076564774,0.0,0.0,0.016397825,0.0,0.040382247,0.0,0.0,0.0,0.030440204,0.039640404,0.0,0.0124082435,0.022569887,0.0,0.0,0.0,0.0,0.0,0.025155662,0.029014813,0.0,0.0,0.0,0.0,0.0,0.023516336,0.0,0.0,0.025461765,0.0,0.01159926,0.0,0.0,0.0,0.0,0.0,0.0,0.01795115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.060200967,0.0,0.0,0.0,0.0,0.0,0.0,0.025913378,0.041937638,0.014973917,0.0,0.04319983,0.0,0.0,0.0,0.015656872,0.0,,,,,,,,,,
0.0,0.0,0.0,0.03772883,0.0,0.0,0.0,0.017900214,0.0,0.0,0.0,0.0,0.008669217,0.0,0.020619325,0.01626531,0.02400155,0.05307846,0.0,0.012425646,0.0,0.0124180075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019739414,0.017230803,0.012076359,0.0155461505,0.0,0.0,0.022163456,0.034641664,0.014413533,0.0,0.01194143,0.01115344,0.0,0.0,0.0,0.016202722,0.0135332905,0.04836076,0.0,0.0,0.015138889,0.0,0.06577961,0.0,0.013826346,0.012694682,0.03808497,0.013373883,0.0,0.011307665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025725065,0.0,0.0,0.0,0.0,0.0,0.015281495,0.017424751,0.023257641,0.0,0.018163176,0.0,0.0,0.0,0.016769795,0.0,0.0,0.02885963,0.050293706,0.0,0.0,0.012730738,0.0,0.0,0.0,0.0,0.0,0.014660753,0.0,0.012576468,0.011129564,0.0,0.0,0.0,0.012102509,0.049000476,0.015065321,0.0,0.0,0.0,0.0,0.0,0.066643365,0.0,,,,,,,,,,
0.0,0.01990647,0.0,0.0,0.011660084,0.0,0.0,0.029067269,0.022769079,0.0,0.0,0.0,0.0,0.0,0.05551716,0.019948803,0.0,0.021837866,0.0,0.047109034,0.020669658,0.013841567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018557508,0.0,0.018483967,0.0,0.015659198,0.0,0.036852203,0.079245865,0.014054533,0.0,0.016792167,0.0,0.0,0.0,0.0,0.016529847,0.013253685,0.021073617,0.0,0.0,0.0184368,0.0,0.0,0.0,0.07098651,0.0,0.0,0.045194596,0.0,0.0,0.022767574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019064883,0.0,0.0,0.0,0.026313243,0.0,0.008705278,0.0,0.0,0.0,0.0,0.0,0.0,0.03385004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02842779,0.0,0.01297056,0.0,0.0,0.0,0.0,0.0,0.05514583,0.014133524,0.0,0.026693562,0.0,0.0,0.0,0.10448021,0.0,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029532261,0.018485565,0.0,0.0,0.0,0.0,0.0,0.062299516,0.016061183,0.0,0.01972592,0.0,0.0485326,0.011474299,0.014202705,0.0,0.0,0.0,0.0,0.02318092,0.0,0.0,0.018052,0.012696837,0.010810839,0.0,0.010405442,0.0,0.025312232,0.0,0.022254867,0.0,0.012645173,0.0,0.0,0.0,0.013220796,0.013714142,0.012032182,0.050801817,0.0,0.0,0.018245198,0.0,0.0,0.0,0.01100895,0.01856137,0.05777602,0.0,0.0,0.024363566,0.014527125,0.091592945,0.0,0.0,0.0,0.0,0.0,0.0,0.021831462,0.0,0.0,0.0,0.0,0.02001364,0.0,0.0,0.021417495,0.0,0.011319367,0.0,0.0,0.0,0.015592997,0.0,0.0,0.016453007,0.023429887,0.06707611,0.0,0.0,0.0,0.0,0.0,0.015341608,0.0,0.016122313,0.0,0.01101147,0.0,0.0,0.0,0.0,0.0,0.03641778,0.012909641,0.0,0.029546767,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021743122,0.024235202,0.0,0.0,0.0,0.0,0.0,0.036968853,0.0,0.0,0.017283084,0.0,0.034278266,0.013896678,0.013175418,0.0,0.0,0.0,0.0,0.0,0.0,0.041170083,0.024186367,0.024093961,0.021536665,0.0,0.015490512,0.0,0.0,0.0,0.016184531,0.0,0.021206832,0.0,0.0,0.0,0.030136097,0.02140264,0.017321147,0.060287416,0.0,0.0,0.035734974,0.0,0.019959256,0.0,0.046020754,0.0,0.042012785,0.0,0.0,0.031244202,0.03239766,0.0,0.0,0.0,0.0,0.0,0.023459127,0.016727041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018332496,0.026284145,0.0,0.0,0.03553545,0.0,0.0,0.0,0.0,0.0,0.01191176,0.0,0.0,0.0,0.0,0.0,0.0,0.025227087,0.0,0.020852469,0.0,0.0,0.0,0.0,0.0,0.049364228,0.043237105,0.0,0.0,0.0,0.0,0.0,0.067102656,0.0,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0150045,0.10283893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029283809,0.0,0.035012253,0.0,0.057082806,0.0,0.0,0.0,0.0,0.0,0.0,0.035131153,0.027707929,0.0,0.018778766,0.0,0.0,0.0,0.02776085,0.0,0.054696646,0.0,0.0,0.0,0.0,0.024144836,0.0,0.018302133,0.028477281,0.0,0.0,0.0,0.026192276,0.0,0.019165792,0.0,0.0419186,0.0,0.06685895,0.0,0.0,0.018812193,0.030613577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053608846,0.0,0.0,0.0,0.0,0.0,0.03325534,0.0,0.0,0.0,0.0,0.0,0.028874034,0.0,0.0,0.0,0.0,0.06332595,0.049983133,0.0,0.0,0.0,0.0,0.0,0.0,0.052498538,0.01605893,0.0,0.0,0.0,0.0,0.0,0.02461199,0.0,,,,,,,,,,
