g__Acidaminococcus,g__Acinetobacter,g__Actinobaculum,g__Actinomyces,g__Adlercreutzia,g__Aeromonas,g__Akkermansia,g__Alistipes,g__Anaerococcus,g__Anaerofustis,g__Anaerostipes,g__Anaerotruncus,g__Bacillus,g__Bacteroides,g__Barnesiella,g__Bifidobacterium,g__Bilophila,g__Blautia,g__Butyricicoccus,g__Butyricimonas,g__Butyrivibrio,g__Campylobacter,g__Catenibacterium,g__Cetobacterium,g__Citrobacter,g__Clostridium,g__Collinsella,g__Coprobacillus,g__Coprobacter,g__Coprococcus,g__Desulfovibrio,g__Dialister,g__Dorea,g__Eggerthella,g__Enterobacter,g__Enterococcus,g__Escherichia,g__Eubacterium,g__Faecalibacterium,g__Flavonifractor,g__Fusobacterium,g__Gardnerella,g__Gemella,g__Gordonibacter,g__Granulicatella,g__Haemophilus,g__Holdemania,g__Klebsiella,g__Lactobacillus,g__Lactococcus,g__Leuconostoc,g__Megamonas,g__Megasphaera,g__Methanobrevibacter,g__Methanosphaera,g__Mitsuokella,g__Odoribacter,g__Oscillibacter,g__Oxalobacter,g__Parabacteroides,g__Paraprevotella,g__Parasutterella,g__Pediococcus,g__Peptoniphilus,g__Peptostreptococcus,g__Phascolarctobacterium,g__Porphyromonas,g__Prevotella,g__Propionibacterium,g__Proteus,g__Pseudomonas,g__Pyramidobacter,g__Raoultella,g__Roseburia,g__Rothia,g__Ruminococcus,g__Shigella,g__Slackia,g__Solobacterium,g__Staphylococcus,g__Streptococcus,g__Subdoligranulum,g__Succinatimonas,g__Sutterella,g__Turicibacter,g__Veillonella,g__Weissella,g__Enhydrobacter,g__Fretibacterium,g__Halomonas,g__Morganella,g__Providencia
0.0,0.0,0.0,0.03761659,0.013447516,0.0,0.0,0.035031535,0.0,0.0,0.06806608,0.0,0.0,0.019881254,0.0,0.0167955,0.02800772,0.010811003,0.0,0.032424398,0.0,0.0,0.0,0.0,0.0,0.025586609,0.015616623,0.0235437,0.0,0.01021563,0.030743886,0.0,0.008856237,0.019676544,0.0,0.028881578,0.019168265,0.011475953,0.03477097,0.0,0.0,0.0,0.03361881,0.01234898,0.042707436,0.038338214,0.028019896,0.0,0.048336424,0.0,0.0,0.02571166,0.0,0.0,0.0,0.0,0.017463954,0.0,0.0,0.013588407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016287351,0.029996356,0.01053796,0.0,0.0179196,0.026726358,0.0,0.010878417,0.012696775,0.0,0.048130825,0.0,0.07607505,0.0,,,,,
0.0,0.0,0.0,0.07122913,0.0080697825,0.0,0.0,0.03041259,0.0,0.0,0.058867484,0.020773547,0.0,0.021698449,0.0,0.02193718,0.019836191,0.01056505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023014337,0.013017208,0.017648632,0.0,0.009357286,0.0,0.0,0.018426407,0.019749613,0.022856727,0.016200649,0.010988601,0.009566783,0.012045515,0.019855032,0.041428097,0.0,0.026249118,0.0077089374,0.030193524,0.013480898,0.02251011,0.0,0.05536172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017609369,0.025002282,0.0,0.02898658,0.0,0.03426126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009226334,0.038779538,0.012461544,0.0,0.0,0.019578757,0.0,0.049880955,0.028481783,0.0,0.0,0.025013588,0.057669435,0.0,,,,,
0.0,0.0,0.0,0.04008258,0.0077227913,0.0,0.0,0.019339107,0.0,0.0,0.064170636,0.0,0.0,0.040558524,0.0,0.022381932,0.029366039,0.0069699637,0.0,0.0,0.0,0.0,0.0,0.0,0.025289916,0.02831682,0.01664272,0.0,0.027908437,0.0073956256,0.0,0.04235137,0.009725028,0.011594121,0.021400124,0.015881445,0.010630225,0.008087081,0.015574877,0.0,0.0,0.0,0.0,0.008501134,0.034858108,0.011653174,0.026822682,0.017354093,0.0,0.0,0.025434786,0.016283104,0.0,0.0,0.0,0.0,0.015773626,0.038472615,0.0,0.027737128,0.0,0.0,0.008392401,0.0,0.029741902,0.0,0.0,0.0,0.019951014,0.0,0.0,0.0,0.012576947,0.018425062,0.032757144,0.010755935,0.0,0.0,0.020740973,0.0,0.05070538,0.010126863,0.0,0.0,0.025243966,0.06630259,0.0,,,,,
0.0,0.0,0.0,0.0,0.010448673,0.0,0.039484635,0.009415586,0.0,0.0,0.063356854,0.023079,0.0,0.017575173,0.009444047,0.008971134,0.0,0.021524258,0.0,0.0,0.0,0.0,0.0,0.0,0.024858108,0.01263641,0.011406109,0.0077938805,0.0074541913,0.007839514,0.0,0.0125391185,0.0064018113,0.029530661,0.016604623,0.026862051,0.009220895,0.0077275597,0.01701487,0.031182228,0.0,0.0,0.0,0.0072269808,0.0,0.02182492,0.02098415,0.023546573,0.01389641,0.0201068,0.026737029,0.0,0.0,0.0,0.0,0.02434589,0.008300848,0.02599938,0.008843663,0.018919284,0.010677026,0.0,0.0,0.0,0.0,0.0,0.055534836,0.03685311,0.0,0.0,0.0,0.0,0.0,0.022348216,0.045946527,0.0070530814,0.0,0.0,0.0,0.0,0.041045915,0.012584736,0.0,0.03931189,0.0,0.060344934,0.015196464,,,,,
0.023246404,0.0,0.0,0.045193076,0.0061196545,0.0,0.0,0.023387354,0.0,0.0,0.04303789,0.0,0.0,0.06433892,0.011500475,0.025634376,0.027051676,0.0071276636,0.0,0.0,0.0,0.0,0.0,0.0,0.018344276,0.01864155,0.014628266,0.012663114,0.02104707,0.0057700616,0.0,0.0,0.0067536547,0.01230039,0.013607246,0.014298109,0.011230341,0.008990887,0.020918613,0.0,0.0,0.0,0.020726046,0.007886328,0.031700764,0.01782505,0.0,0.009580546,0.03076507,0.020822415,0.018491017,0.021766206,0.019135568,0.0,0.0,0.0,0.023416158,0.032154724,0.0,0.036152653,0.0,0.030693632,0.013119342,0.0,0.0,0.0,0.0,0.0,0.0,0.016165338,0.0,0.0,0.008802695,0.017261721,0.030577036,0.0067489045,0.0,0.0,0.023312911,0.0,0.01574068,0.008541993,0.0,0.0,0.0,0.0712791,0.011503012,,,,,
0.0,0.0,0.0,0.07412489,0.013228637,0.0,0.0,0.02583543,0.0,0.0,0.0,0.020739933,0.0,0.018606592,0.01226538,0.035707127,0.015078856,0.017218009,0.0,0.0,0.01726268,0.0,0.0,0.0,0.0,0.019278023,0.0,0.009301414,0.01978392,0.009120644,0.04963301,0.0,0.028349288,0.0,0.0,0.030977532,0.008858295,0.008907182,0.017835917,0.023376495,0.0,0.0,0.0,0.010775746,0.0,0.0,0.026223024,0.01769365,0.06765403,0.0,0.0,0.0,0.0,0.012499383,0.020409381,0.0,0.012628237,0.027075496,0.015505531,0.015216202,0.013145134,0.0,0.0,0.0,0.0,0.01997841,0.06466911,0.01727523,0.0,0.0,0.0,0.0,0.0,0.011989314,0.0,0.010591464,0.0,0.0,0.036021885,0.0,0.043249425,0.010853902,0.0,0.039345875,0.03171024,0.0,0.0,,,,,
0.0,0.0,0.0,0.060166888,0.009245015,0.0,0.0,0.0,0.054859634,0.0,0.060893882,0.02556026,0.0,0.025792027,0.0,0.02133542,0.028671695,0.018793056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02678003,0.014024526,0.014496995,0.0,0.007256133,0.0,0.032004457,0.012268258,0.016120382,0.0,0.024648422,0.01707664,0.012103641,0.036593277,0.026346182,0.0,0.0,0.0,0.009366493,0.0,0.0,0.010717482,0.0,0.03899946,0.0,0.033184085,0.0,0.0,0.0,0.0,0.0,0.0,0.02617728,0.0,0.014536646,0.0,0.0,0.0,0.0,0.0,0.0,0.050227802,0.07420063,0.0,0.0,0.0,0.0,0.0,0.03503947,0.0,0.010125801,0.0,0.0,0.020970654,0.0,0.042266823,0.01328191,0.0,0.0,0.0,0.07586856,0.0,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06617907,0.0,0.0,0.040089685,0.0,0.0,0.021039745,0.019798243,0.014563262,0.0,0.011604241,0.017476935,0.0,0.0,0.0,0.0,0.0,0.0,0.023106756,0.023312233,0.0100727985,0.0,0.011672404,0.0,0.046594277,0.04068113,0.014026487,0.0,0.01892984,0.015467727,0.01071662,0.05966297,0.01777924,0.032255165,0.0,0.040563677,0.011154617,0.037810493,0.017473912,0.02268142,0.0,0.0,0.025373064,0.0,0.027761037,0.0,0.0,0.0,0.0,0.018070985,0.013069701,0.0,0.015159235,0.0,0.014663078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011557161,0.040501025,0.01233657,0.0,0.0,0.0,0.0,0.06421617,0.052207135,0.0,0.0,0.0,0.060371906,0.0,,,,,
0.013647582,0.0,0.0,0.056630507,0.006993568,0.0,0.010517425,0.015512221,0.024658414,0.0,0.05284025,0.01416856,0.0,0.018916495,0.008138327,0.024255123,0.010744522,0.013198141,0.0,0.015971582,0.0,0.0,0.0,0.0,0.0,0.014786696,0.016552066,0.011180501,0.0,0.0085397735,0.012855653,0.0,0.008705814,0.01463505,0.0,0.014348642,0.010598744,0.00836333,0.009399678,0.016150936,0.0,0.0,0.03733357,0.00797509,0.04201178,0.014878376,0.013343762,0.0,0.05128166,0.016440812,0.017761445,0.015304263,0.014354811,0.0,0.0,0.0,0.010100961,0.01609722,0.0,0.010509546,0.0,0.018486971,0.0,0.012408358,0.012639468,0.0,0.03981132,0.021629553,0.0,0.0,0.0,0.0,0.0,0.035385,0.03594074,0.0073511,0.0,0.0,0.014809238,0.0,0.04135174,0.015002155,0.0,0.0,0.0,0.04548143,0.0,,,,,
0.0,0.0,0.0,0.042849477,0.012105066,0.0,0.0,0.024191394,0.0,0.0,0.011890695,0.0,0.0,0.051593263,0.01882099,0.009699878,0.022677694,0.010977669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020537257,0.009746187,0.0,0.0,0.011851803,0.0,0.0,0.007850344,0.014435818,0.0,0.028144505,0.019809354,0.012516273,0.020647995,0.0,0.0,0.0,0.02470733,0.012281379,0.02261781,0.035958316,0.02697762,0.0,0.022132043,0.027795231,0.0,0.0,0.0,0.0,0.0,0.0,0.021095052,0.04038849,0.0,0.06771393,0.0,0.0,0.021025244,0.0,0.02061912,0.023561636,0.0,0.037423555,0.0,0.0,0.0,0.0,0.0,0.037073143,0.029482016,0.011538023,0.0,0.0,0.022492183,0.0,0.04267646,0.010951082,0.0,0.0,0.025600087,0.0655446,0.0,,,,,
