taxid,taxname
943,Ehrlichia
334767,Ignisphaera
269260,Nitratifractor
331971,Thalassobacillus
49279,Gelidibacter
1434049,Thermophagus
637,Arsenophonus
39643,Sorangium
84565,Sodalis
43988,Cyanothece
82984,Pragia
147067,Thermobispora
2237,Haloarcula
552511,Thiofaba
113,Gemmata
482144,Mechercharimyces
162027,Haliangium
318147,Roseateles
2330,Halanaerobium
292636,Thermoflavimicrobium
107,Spirosoma
1056,Thiocapsa
120831,Dyadobacter
81411,Aminomonas
352449,Giesbergeria
450803,Oceaniserpentilla
335058,Roseateles
2004797,Luteitalea
1233041,Salinirepens
648800,Solibacillus
363408,Nonlabens
1433993,Chryseolinea
160700,Albibacter
85076,Marichromatium
202746,Sulfurimonas
196118,Methanocaldococcus
416,Methylomonas
1077265,Chthonomonas
288021,Kordiimonas
308865,Elizabethkingia
129957,Carboxydothermus
914,Nitrosomonas
965,Oceanospirillum
42447,Anaerobranca
236752,Fastidiosipila
1938003,Thermoflexibacter
265487,Blastopirellula
390846,Echinicola
392332,Geoalkalibacter
131079,Limnobacter
426598,Fulvibacter
158481,Hahella
460073,Segetibacter
61593,Thiorhodovibrio
291988,Thermosediminibacter
28048,Acidothermus
286130,Sulfuricurvum
416949,Parapedobacter
650341,Leeia
511745,Methylacidiphilum (ex Ratnadevi et al. 2023)
119541,Roseinatronobacter
446680,Eudoraea
202907,Collimonas
54298,Chroococcidiopsis
1648511,Cnuella
1217416,Halioglobus
1341120,Pseudohaliea
146918,Salinibacter
1129,Synechococcus
224465,Kofleria
171,Leptospira
545865,Calditerrivibrio
236052,Propionicimonas
451373,Rudanella
2349,Haliscomenobacter
232244,Belliella
218207,Desulfatibacillum
511678,Aliivibrio
2723,Hirschia
1129704,Kyrpidia
290731,Aminiphilus
227388,Thermodesulfobium
643949,Ferrithrix
919,Thiobacillus
20,Phenylobacterium
396811,Fulvivirga
292635,Laceyella
2023,Thermoactinomyces
13134,Magnetospirillum
356797,Neomegalonema
1082930,Pelagibacterium
84406,Virgibacillus
413,Methylococcus
1075397,Halolamina
42417,Halobacteroides
53945,Octadecabacter
