g__Abiotrophia,g__Acidaminococcus,g__Acidovorax,g__Actinomyces,g__Advenella,g__Akkermansia,g__Alistipes,g__Alloscardovia,g__Anaerofustis,g__Anaerorhabdus,g__Anaerosinus,g__Anaerotruncus,g__Arthrobacter,g__Atopobium,g__Bacillus,g__Bacteroides,g__Barnesiella,g__Bifidobacterium,g__Bulleidia,g__Butyricicoccus,g__Butyricimonas,g__Butyrivibrio,g__Catenibacterium,g__Chelativorans,g__Christensenella,g__Cloacibacillus,g__Clostridium,g__Collinsella,g__Coprobacillus,g__Coprococcus,g__Coriobacterium,g__Corynebacterium,g__Cytophaga,g__Desulfovibrio,g__Dialister,g__Dorea,g__Eggerthella,g__Enterococcus,g__Escherichia,g__Faecalibacterium,g__Finegoldia,g__Gemmiger,g__Granulicatella,g__Halomonas,g__Helicobacter,g__Herbaspirillum,g__Hespellia,g__Holdemania,g__Lachnoanaerobaculum,g__Lachnospira,g__Lactobacillus,g__Lactonifactor,g__Leuconostoc,g__Limnobacter,g__Methanobrevibacter,g__Millisia,g__Mitsuokella,g__Neisseria,g__Odoribacter,g__Olsenella,g__Papillibacter,g__Parabacteroides,g__Paraprevotella,g__Pediococcus,g__Peptoniphilus,g__Peptostreptococcus,g__Prevotella,g__Proteus,g__Pseudomonas,g__Pyramidobacter,g__Roseburia,g__Rothia,g__Ruminococcus,g__Scardovia,g__Selenomonas,g__Slackia,g__Sphingomonas,g__Sporobacter,g__Staphylococcus,g__Streptococcus,g__Subdoligranulum,g__Succinispira,g__Synergistes,g__Vibrio,g__Victivallis,g__Weissella,g__Brevundimonas,g__Caulobacter,g__Porphyromonas,g__Rhizobium,g__Streptomyces,g__Aeromonas,g__Cetobacterium,g__Shigella,g__Succinivibrio,g__Sutterella,g__Algoriphagus,g__Bordetella,g__Deinococcus,g__Lysobacter,g__Massilia,g__Methylobacterium,g__Micromonospora,g__Nocardioides,g__Pedobacter,g__Rhodococcus,g__Rhodopseudomonas,g__Sphingobium,g__Treponema
0.0,0.0,0.0,0.0,0.0,0.0,0.06580256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039855935,0.0557332,0.047563232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09652708,0.06993918,0.0,0.0,0.0,0.0,0.07016149,0.0,0.0,0.057568822,0.09717932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10052791,0.0,0.0,0.0,0.0,0.057733618,0.041164126,0.07888962,0.0,0.0,0.0,0.0,0.06575698,0.055596966,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.04162063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03696304,0.067897215,0.09561219,0.07078899,0.048766125,0.022700371,0.026303843,0.0,0.0,0.0,0.0,0.0,0.0,0.040678296,0.0306582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03151303,0.0,0.0,0.0,0.027457708,0.0,0.06425101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059270475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041366067,0.0,0.0,0.0,0.026955338,0.06073689,0.042563915,0.0,0.0,0.0,0.0,0.0,0.0,0.043451335,0.07668791,0.0,0.0,0.0,0.0,0.04375747,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.02864689,0.05707176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056774627,0.09098611,0.04433684,0.0,0.060629535,0.03657705,0.0,0.0,0.0,0.0,0.0,0.05088479,0.0,0.0,0.0,0.0,0.0,0.0,0.054340303,0.0,0.043831047,0.052334167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033415202,0.0,0.0,0.0,0.0,0.0,0.0,0.04270441,0.0,0.047629442,0.0,0.03932193,0.0,0.0,0.0,0.10398975,0.0,0.0,0.0,0.0,0.0,0.042787634,0.0,0.0,0.0,0.0,0.03759369,0.0,0.0,0.044851474,0.03129339,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.045740277,0.0,0.072987035,0.0,0.0,0.0,0.0,0.0,0.089810885,0.094289914,0.0,0.10360817,0.0,0.0,0.046798803,0.028709758,0.0,0.0,0.0,0.0,0.032608792,0.0,0.0,0.05135832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04239096,0.06829759,0.0,0.0,0.0,0.0,0.0,0.0,0.1390228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06989006,0.0,0.0,0.0,0.0,0.0,0.0,0.06619581,0.0,0.0,0.0,0.0,0.0,0.048290763,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.05676248,0.036459934,0.0,0.0,0.03696978,0.026250625,0.038612824,0.0,0.0,0.0,0.045689072,0.056556307,0.04581492,0.0,0.055989396,0.0,0.0,0.0,0.0,0.0,0.0,0.03491585,0.0,0.0,0.0,0.028356241,0.06627383,0.0,0.057992905,0.0,0.02828745,0.03604197,0.0,0.0,0.0,0.0,0.0,0.0,0.06858515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025790548,0.0,0.0,0.0,0.0,0.0,0.0,0.047713824,0.0,0.054604966,0.0,0.033848885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02582816,0.0,0.0523466,0.0,0.0,0.0,0.0,0.0,0.02111036,0.019197881,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.075709395,0.0,0.017401332,0.021274941,0.0,0.0,0.025816994,0.0,0.027395565,0.061670814,0.0,0.0,0.031871796,0.024391646,0.031388342,0.019211018,0.05814974,0.0,0.0,0.0,0.0,0.0,0.0,0.033478048,0.039815832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017715754,0.034060534,0.0,0.0,0.06519409,0.07400818,0.030973224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029978251,0.0,0.0,0.0,0.0,0.0,0.0,0.036258914,0.0,0.0,0.028464302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038181867,0.0,0.028292673,0.0,0.0,0.0,0.0,0.0,0.0,0.05638071,0.06263558,0.0,0.0,0.0,0.0,0.030280484,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.025274036,0.031437483,0.0,0.06090903,0.07910903,0.0,0.0,0.0,0.022850294,0.028481185,0.0,0.024944896,0.0,0.060511146,0.0,0.021634175,0.016217465,0.0,0.0,0.0,0.0,0.012754317,0.0,0.0,0.023313146,0.023063555,0.0,0.0,0.0,0.047170985,0.0,0.0,0.0,0.032814123,0.01698062,0.027783152,0.0,0.0,0.0,0.047046755,0.0,0.0356992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027030896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021726295,0.0,0.0,0.021001326,0.04316373,0.0,0.038045365,0.0,0.0,0.0,0.056621563,0.0,0.021984464,0.013288332,0.03177986,0.0,0.0,0.012060636,0.0,0.036042776,0.023037689,0.016222501,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.03095927,0.0,0.0,0.0,0.0,0.041882902,0.0,0.0,0.021246186,0.0,0.0,0.0,0.0,0.0,0.04039469,0.0,0.042383038,0.0,0.06881795,0.03453811,0.0,0.0,0.02543902,0.0,0.026700791,0.04564799,0.023836974,0.0,0.0,0.0,0.0,0.0,0.029026048,0.0,0.02852621,0.028870478,0.0,0.0,0.046078958,0.0,0.03405505,0.0,0.057916664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045197453,0.0,0.0,0.0,0.08335934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04253767,0.0,0.0,0.0,0.035414327,0.0,0.026150404,0.0,0.02383605,0.0,0.051221535,0.0,0.0,0.0,0.0,0.020316305,0.045646597,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
0.09769091,0.0,0.0,0.0,0.0,0.18061298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06130952,0.0,0.0,0.0,0.0,0.0,0.09668185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05916486,0.0,0.0,0.0,0.0,0.0,0.075425535,0.0,0.0,0.0,0.0,0.0,0.110954925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12985496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09531125,0.09299324,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.036207683,0.023335638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03690747,0.05070299,0.055607744,0.0,0.06947182,0.0,0.0,0.0,0.0,0.0,0.0,0.042081855,0.06582458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028840283,0.038884096,0.0,0.0,0.050782282,0.0,0.038658176,0.0,0.069418825,0.0,0.0,0.0,0.0,0.0,0.05705051,0.0,0.0,0.0,0.0,0.03852054,0.0,0.0,0.0,0.03510292,0.0,0.040292967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04021073,0.0,0.07530695,0.059532408,0.04725953,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0814719,0.0,0.0,0.0,0.0,0.06371924,0.0,0.0,0.11353108,0.0,0.10939506,0.0,0.06282123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.095663264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08345395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06898367,0.0,0.0,0.0,0.0,0.058048114,0.12661515,0.0,0.0,0.0,0.0,0.0,0.0,0.08465245,0.0,0.051644843,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.07393227,0.0,0.0,0.022001995,0.0,0.0,0.0,0.0,0.043282177,0.0,0.0,0.061701525,0.036173172,0.035956543,0.022389576,0.0,0.0,0.028704457,0.0,0.0,0.0,0.0,0.0,0.024703855,0.039276265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024312029,0.0,0.05311015,0.0,0.024788693,0.0,0.041513737,0.0,0.0,0.0,0.0,0.0,0.033272218,0.0,0.0,0.0,0.03205015,0.0,0.0,0.04275119,0.0,0.0,0.0,0.04143211,0.0,0.0,0.0,0.026490401,0.0,0.0,0.0,0.0,0.0,0.0,0.0255131,0.056440983,0.0,0.03312674,0.0,0.0,0.0,0.0,0.0,0.0,0.054092158,0.04884123,0.032200858,0.0,0.0,0.0,0.041942384,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0742918,0.0,0.0,0.03631753,0.0,0.0,0.0,0.0426786,0.044546302,0.0,0.052657068,0.0,0.03168171,0.0,0.033654317,0.0,0.050340928,0.0,0.0,0.0,0.0,0.0,0.0,0.060062297,0.05283311,0.0,0.0,0.0,0.0,0.04779754,0.0,0.0,0.037415266,0.0,0.0,0.0,0.023871096,0.0,0.048775356,0.0,0.07286685,0.0,0.0,0.0,0.0408475,0.0,0.0,0.0,0.038951844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030853853,0.0,0.036907535,0.0,0.0,0.0,0.0,0.053614125,0.0,0.057155475,0.03187992,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.033621337,0.0,0.0,0.047611725,0.0,0.027515914,0.0,0.0,0.03980915,0.0,0.061648324,0.06810401,0.05543445,0.0,0.03048074,0.018948162,0.046302337,0.0,0.0,0.0,0.0,0.0,0.0,0.047278117,0.057650704,0.0,0.0,0.0,0.0,0.04190182,0.0,0.0,0.027733123,0.041145664,0.0,0.0,0.038550165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050674092,0.024069684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037516475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049253687,0.0,0.032669708,0.0,0.04639588,0.0,0.0,0.0,0.0,0.042987153,0.032697577,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
