g__Acidaminococcus,g__Actinomyces,g__Adlercreutzia,g__Akkermansia,g__Alistipes,g__Alloscardovia,g__Anaerostipes,g__Anaerotruncus,g__Atopobium,g__Bacteroides,g__Barnesiella,g__Bifidobacterium,g__Bilophila,g__Blautia,g__Butyrivibrio,g__Catenibacterium,g__Citrobacter,g__Clostridium,g__Collinsella,g__Coprobacillus,g__Coprobacter,g__Coprococcus,g__Corynebacterium,g__Cronobacter,g__Desulfovibrio,g__Dialister,g__Dorea,g__Eggerthella,g__Enterobacter,g__Enterococcus,g__Escherichia,g__Eubacterium,g__Faecalibacterium,g__Flavonifractor,g__Fusobacterium,g__Gardnerella,g__Gemella,g__Gordonibacter,g__Granulicatella,g__Haemophilus,g__Holdemania,g__Klebsiella,g__Lactobacillus,g__Lactococcus,g__Leuconostoc,g__Marvinbryantia,g__Megamonas,g__Megasphaera,g__Methanobrevibacter,g__Methanosphaera,g__Mitsuokella,g__Odoribacter,g__Olsenella,g__Oscillibacter,g__Oxalobacter,g__Parabacteroides,g__Paraprevotella,g__Parasutterella,g__Parvimonas,g__Pediococcus,g__Peptostreptococcus,g__Phascolarctobacterium,g__Prevotella,g__Propionibacterium,g__Pseudoflavonifractor,g__Pseudomonas,g__Roseburia,g__Rothia,g__Ruminococcus,g__Scardovia,g__Slackia,g__Staphylococcus,g__Streptococcus,g__Subdoligranulum,g__Sutterella,g__Turicibacter,g__Veillonella,g__Alloprevotella,g__Brachyspira,g__Butyricicoccus,g__Butyricimonas,g__Hafnia,g__Pyramidobacter,g__Ralstonia,g__Selenomonas,g__Succinatimonas,g__Aggregatibacter,g__Eikenella
0.0,0.03821929,0.011565179,0.025109997,0.0,0.015019722,0.06381922,0.0,0.027364282,0.055996764,0.028965054,0.011599402,0.0,0.020106561,0.0,0.0,0.0,0.02169067,0.0117253,0.010572263,0.0,0.011238451,0.048314862,0.0,0.0,0.017473962,0.010152783,0.016614169,0.0,0.0,0.026094886,0.013241345,0.017139638,0.0,0.0,0.0,0.037253372,0.0089339,0.032234784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03837408,0.0,0.0,0.024328884,0.0,0.02630255,0.0,0.026083939,0.0,0.0,0.018005649,0.0,0.08589544,0.0295855,0.04424623,0.013152831,0.0,0.0,0.0,0.034774534,0.015711924,0.0,0.0,0.06309269,,,,,,,,,,,
0.0,0.05613201,0.015397176,0.011130309,0.042615034,0.0,0.031518824,0.0,0.0,0.0545327,0.02194088,0.011837711,0.0,0.017522033,0.023111543,0.0,0.0,0.02910612,0.012075664,0.0,0.0,0.013120034,0.0,0.0,0.0,0.0,0.011517215,0.029659348,0.0,0.0,0.0212523,0.013277902,0.011923189,0.0,0.0,0.0,0.0,0.01306844,0.037681468,0.0,0.022106282,0.0,0.060613688,0.025218949,0.029458785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125528,0.0,0.0522137,0.02268271,0.0,0.0,0.0,0.0,0.021774607,0.0,0.0,0.012736608,0.0,0.04070771,0.046001315,0.012864212,0.0,0.0,0.052922416,0.061785094,0.009660252,0.0,0.019578401,0.0,,,,,,,,,,,
0.0,0.06806327,0.011363395,0.014693457,0.04961052,0.0,0.0,0.025508625,0.0,0.024716126,0.04301507,0.0,0.020628083,0.024802014,0.011545266,0.014845799,0.0,0.027638905,0.016328687,0.010379439,0.0,0.013609151,0.0,0.0,0.024513409,0.0,0.014604466,0.0,0.0,0.0,0.014034938,0.012377581,0.03755038,0.020860197,0.0,0.0,0.0,0.0,0.0,0.0,0.016449641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016334508,0.0,0.0,0.05112592,0.029482972,0.015483123,0.0,0.017011695,0.03302852,0.0,0.0,0.0,0.034468696,0.033784818,0.051459864,0.0316806,0.0,0.0,0.053805303,0.0,0.010774932,0.0,0.0,0.0,0.049959585,0.009677768,0.04478334,0.0,0.0,,,,,,,,,,,
0.0,0.0,0.023044955,0.03916305,0.06545901,0.0,0.028705353,0.0,0.0,0.043292113,0.04083918,0.0,0.035639875,0.025416262,0.050659973,0.0,0.0,0.042163853,0.02074388,0.0,0.0,0.015233023,0.0,0.0,0.0,0.03017005,0.015506183,0.03974309,0.0,0.0,0.026711777,0.016941067,0.015970409,0.0,0.0,0.0,0.0,0.017249614,0.08567211,0.0,0.03380655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058401912,0.0,0.036982935,0.030197095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014893268,0.0,0.015033048,0.0,0.025908047,0.0,0.047682095,0.014940125,0.0,0.043830108,0.0,,,,,,,,,,,
0.0,0.073912576,0.012229339,0.034453385,0.013020488,0.0,0.043546557,0.02258872,0.0,0.03194135,0.012224113,0.010977969,0.023289701,0.021014243,0.009450438,0.010984403,0.0,0.018411648,0.010983754,0.0,0.025998749,0.011703484,0.0,0.0,0.0,0.0,0.007868519,0.02683297,0.0,0.0,0.015475884,0.0111669265,0.010733609,0.0,0.0,0.0,0.042874236,0.007990307,0.0,0.014489246,0.012522897,0.01907116,0.07607463,0.0,0.022552732,0.0,0.0,0.0,0.012586997,0.0,0.0,0.020461664,0.025581177,0.03815346,0.0,0.041888352,0.0,0.030131033,0.0,0.0,0.0,0.012963475,0.0,0.0,0.0,0.0,0.0075994832,0.03655007,0.009921445,0.0,0.0,0.0,0.022088898,0.008182128,0.02713085,0.028494123,0.023882827,,,,,,,,,,,
0.0,0.0,0.012649095,0.016121281,0.024659483,0.0,0.02293733,0.040002495,0.0,0.039456885,0.017931752,0.018320944,0.027240561,0.01331833,0.0,0.0,0.0,0.021387428,0.014630699,0.0,0.0,0.013138389,0.0,0.0,0.0,0.047960926,0.010226806,0.037192363,0.0,0.0,0.023369255,0.013654222,0.00943865,0.03727759,0.0,0.0,0.057663828,0.0,0.063128434,0.0,0.021113522,0.0,0.04910064,0.0,0.0,0.0,0.024889763,0.0,0.0,0.0,0.0,0.016759602,0.03644248,0.029396169,0.0,0.034411665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01900239,0.0,0.031245098,0.03525896,0.013177598,0.0,0.0,0.0,0.01543808,0.010057873,0.0,0.0,0.0819994,,,,,,,,,,,
0.0,0.0,0.0,0.049391165,0.06458329,0.0,0.04957692,0.0,0.0,0.06967666,0.030303922,0.012994419,0.023178352,0.01653069,0.025572421,0.024752997,0.0,0.03660215,0.0165285,0.0,0.0,0.016675027,0.0,0.0,0.0,0.0,0.013092026,0.028287197,0.0,0.0,0.0,0.01742067,0.013863294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028222764,0.0,0.047371734,0.0,0.0,0.0,0.0,0.0,0.022974152,0.029612813,0.0,0.0,0.0,0.04584553,0.0,0.047989585,0.0,0.03244868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02714077,0.05005785,0.015060023,0.0,0.0,0.0,0.054305296,0.01521073,0.0,0.0,0.0747304,,,,,,,,,,,
0.0,0.0488034,0.0,0.0,0.0,0.021862304,0.01956372,0.0,0.0,0.07648546,0.0,0.041623015,0.0,0.016874941,0.0,0.0,0.0,0.028671013,0.0,0.016341278,0.0,0.0,0.0,0.011853713,0.0,0.06073232,0.055173233,0.022848776,0.03814273,0.023980564,0.019930381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04404669,0.0,0.0,0.028360212,0.06345585,0.034284428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04342374,0.0,0.0,0.0,0.0,0.0,0.035008844,0.032413352,0.0,0.0,0.0,0.0,0.0,0.05644687,0.0,0.0,0.0,0.0,0.0,0.053725466,0.033007473,0.0,0.0,0.07294018,,,,,,,,,,,
0.0,0.049587738,0.0,0.0,0.029946396,0.0,0.042505495,0.0,0.0,0.061988197,0.020775778,0.0142635945,0.0,0.031068716,0.0,0.0,0.0,0.032207865,0.0,0.0,0.0,0.021818243,0.0,0.0,0.0,0.0,0.017783558,0.029034896,0.0,0.02818282,0.027232086,0.017704617,0.021123772,0.0,0.0,0.0,0.031164678,0.02061913,0.055797257,0.0,0.031571943,0.024626285,0.025781902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03130162,0.0,0.037699148,0.0,0.019319586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061494846,0.045376886,0.023821918,0.024783056,0.0,0.0,0.018128097,0.024323681,0.0,0.0,0.07896624,,,,,,,,,,,
0.024779627,0.04593234,0.0,0.027736954,0.029722799,0.0,0.025301216,0.0,0.0,0.03142743,0.021588048,0.013422873,0.018119844,0.0148911,0.024741348,0.016967842,0.0,0.020237068,0.01764255,0.014908437,0.0,0.013220095,0.0,0.0,0.0,0.011152329,0.014288705,0.013745056,0.0,0.0,0.015995825,0.012491764,0.017095154,0.023404036,0.0,0.0,0.033546783,0.0,0.034586564,0.0,0.015447473,0.022781793,0.05791828,0.0,0.0,0.0,0.020655332,0.0,0.0,0.0,0.0,0.028190022,0.0,0.03433968,0.0,0.024799695,0.0,0.0,0.025437873,0.0,0.025540343,0.0,0.041248947,0.0,0.0,0.0,0.023156531,0.0,0.010069865,0.0,0.0,0.0,0.054655604,0.011292505,0.0,0.0,0.06752028,,,,,,,,,,,
