g__Acidaminococcus,g__Actinobacillus,g__Actinomyces,g__Adlercreutzia,g__Akkermansia,g__Alistipes,g__Alloprevotella,g__Anaeroglobus,g__Anaerostipes,g__Anaerotruncus,g__Atopobium,g__Bacteroides,g__Barnesiella,g__Bifidobacterium,g__Bilophila,g__Blautia,g__Butyricicoccus,g__Butyricimonas,g__Butyrivibrio,g__Campylobacter,g__Catenibacterium,g__Citrobacter,g__Clostridium,g__Collinsella,g__Coprobacillus,g__Coprobacter,g__Coprococcus,g__Desulfovibrio,g__Dialister,g__Dorea,g__Dysgonomonas,g__Eggerthella,g__Enterobacter,g__Enterococcus,g__Escherichia,g__Eubacterium,g__Faecalibacterium,g__Flavonifractor,g__Fusobacterium,g__Granulicatella,g__Haemophilus,g__Holdemania,g__Klebsiella,g__Lactobacillus,g__Lactococcus,g__Megamonas,g__Megasphaera,g__Methanobrevibacter,g__Odoribacter,g__Oscillibacter,g__Oxalobacter,g__Parabacteroides,g__Paraprevotella,g__Parasutterella,g__Peptostreptococcus,g__Phascolarctobacterium,g__Porphyromonas,g__Prevotella,g__Propionibacterium,g__Proteus,g__Pseudoflavonifractor,g__Roseburia,g__Rothia,g__Ruminococcus,g__Scardovia,g__Slackia,g__Staphylococcus,g__Streptococcus,g__Subdoligranulum,g__Sutterella,g__Turicibacter,g__Veillonella,g__Weissella,g__Abiotrophia,g__Actinobaculum,g__Aggregatibacter,g__Anaerococcus,g__Anaerofustis,g__Cellulosilyticum,g__Corynebacterium,g__Cronobacter,g__Eikenella,g__Finegoldia,g__Gemella,g__Gordonibacter,g__Hafnia,g__Leuconostoc,g__Mitsuokella,g__Morganella,g__Olsenella,g__Parvimonas,g__Pediococcus,g__Providencia,g__Pseudomonas,g__Raoultella,g__Shigella,g__Solobacterium,g__Stenotrophomonas,g__Cetobacterium,g__Neisseria,g__Peptoniphilus,g__Plesiomonas,g__Pyramidobacter,g__Selenomonas,g__Synergistes,g__Thauera,g__Lachnoanaerobaculum,g__Methanosphaera
0.0,0.0,0.0,0.0,0.07485823,0.023001999,0.0,0.0,0.0,0.0,0.0,0.026206471,0.0,0.03713272,0.047337715,0.07660167,0.0,0.0,0.0,0.0,0.0,0.0,0.04958973,0.07889753,0.0,0.0,0.030607523,0.0,0.0,0.03483839,0.0,0.0,0.0,0.0,0.032160822,0.030556073,0.026047647,0.07826798,0.0,0.0,0.0,0.0,0.0,0.08780414,0.0,0.0,0.05160507,0.0,0.0,0.033666402,0.0,0.031115144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061839305,0.0,0.061744034,0.0,0.0,0.0,0.0,0.02612141,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.016418112,0.0,0.0,0.0,0.0481415,0.0,0.02059598,0.03222332,0.0405768,0.030958548,0.058341265,0.0,0.0,0.0,0.0,0.06349397,0.0,0.057336524,0.0,0.0,0.0,0.0,0.0,0.0,0.044108458,0.0,0.0,0.0,0.0,0.058227904,0.029596703,0.023383448,0.052025996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023392066,0.028206147,0.0,0.027041594,0.034889463,0.0,0.0,0.024078125,0.12383813,0.058789164,0.0,0.0,0.0,0.03232359,0.0,0.030378524,0.0,0.0,0.0,0.0,0.0151011245,0.026533546,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.039429802,0.025478855,0.0,0.0,0.0,0.0,0.0,0.028077897,0.0,0.04781733,0.044615876,0.07536014,0.0,0.0,0.0,0.0,0.0,0.0,0.043127254,0.066548586,0.0,0.0,0.0,0.0,0.052301556,0.04652887,0.0,0.0,0.0,0.0,0.0,0.04506395,0.028779106,0.0,0.0,0.0,0.06746755,0.05852999,0.0,0.0,0.0,0.0,0.0,0.0,0.058235753,0.034688797,0.0,0.028928142,0.0,0.0,0.0,0.0,0.0,0.02431003,0.0,0.0,0.0,0.03511467,0.0,0.046365146,0.0,0.0,0.0,0.0,0.023164453,0.0,0.0,0.08006625,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.021666404,0.024879698,0.0,0.0,0.064108804,0.028741952,0.0,0.018295974,0.0,0.012889237,0.04263437,0.029352332,0.0,0.0,0.0,0.0,0.0,0.0,0.022421015,0.029351624,0.0,0.0,0.0,0.0,0.029088633,0.038374454,0.0,0.028161716,0.0,0.0,0.020246292,0.021965293,0.028789876,0.029446432,0.0,0.0,0.060509656,0.031836584,0.0,0.0,0.0,0.0,0.0,0.0,0.02313429,0.01848666,0.0,0.017355386,0.0,0.06701438,0.0,0.0,0.0,0.03747541,0.0,0.0,0.0,0.052665673,0.0,0.028749498,0.0,0.0,0.0,0.042227533,0.01570842,0.066030554,0.0,0.048391823,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.041158486,0.021941798,0.0,0.0,0.046325512,0.03140689,0.0,0.024880651,0.0,0.021465547,0.031661913,0.05851517,0.0,0.0,0.0,0.0,0.0,0.0,0.029738063,0.047162283,0.0,0.0,0.0,0.0,0.039254095,0.029860971,0.0,0.0,0.0,0.0,0.032294147,0.025592733,0.02604865,0.045318186,0.0,0.0,0.050334383,0.036488183,0.0,0.0,0.0,0.0,0.0,0.0,0.03274974,0.031023595,0.0,0.03266668,0.0,0.06305756,0.0,0.0,0.0,0.016889341,0.0,0.0,0.0,0.048472878,0.0,0.034811273,0.0,0.0,0.0,0.0,0.02305224,0.0,0.0,0.07782906,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0728927,0.028417757,0.0,0.0,0.058266662,0.0,0.0,0.0323215,0.0,0.0,0.0,0.07077355,0.0,0.0,0.0,0.0,0.0,0.0,0.047065288,0.0,0.0,0.0,0.0597186,0.0,0.05629313,0.076059185,0.0,0.0,0.0,0.0,0.0,0.05392892,0.030605743,0.05943543,0.0,0.0,0.0,0.0485355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04265177,0.0,0.0,0.0,0.04938424,0.0,0.0,0.0,0.074215375,0.0,0.0,0.0,0.03267433,0.0,0.04740709,0.0,0.0,0.0,0.034934957,0.024418237,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.062486865,0.043717083,0.0,0.0,0.058742292,0.025440501,0.0,0.020938944,0.0,0.016982269,0.01357762,0.029108578,0.0,0.0,0.0,0.0,0.0,0.020372706,0.02169757,0.038105372,0.0,0.0,0.011692174,0.052525464,0.018860685,0.0141635435,0.0,0.0,0.032392886,0.0,0.013380839,0.015020898,0.015967045,0.030160762,0.0,0.0,0.03999351,0.017511979,0.032445867,0.055019382,0.0,0.0,0.02186193,0.0,0.0,0.025685888,0.0,0.021183698,0.0,0.016956085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056054052,0.0,0.023433488,0.023911593,0.0,0.0,0.046211846,0.014828873,0.0,0.0,0.049567733,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.028440483,0.0,0.0,0.0,0.022487082,0.016548239,0.0,0.0,0.062693276,0.023784228,0.0,0.01894556,0.0,0.024839776,0.022696635,0.042941842,0.0,0.0,0.0,0.0,0.0,0.0,0.021949878,0.04647014,0.0,0.0,0.0,0.0,0.022937171,0.027878853,0.0,0.0,0.0,0.0,0.036962576,0.028781263,0.022500828,0.036061823,0.0,0.0,0.053107154,0.036789466,0.0,0.0,0.0,0.0,0.0,0.0,0.03991677,0.023113715,0.0,0.028373683,0.0,0.057801675,0.0,0.0,0.0,0.030232958,0.0,0.0,0.0,0.046478156,0.0,0.035709783,0.0,0.0,0.0,0.038386058,0.019878158,0.0,0.0,0.08329278,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.06405258,0.022503844,0.0,0.0,0.07499807,0.025685225,0.0,0.018902102,0.0,0.026704997,0.039211486,0.080100864,0.0,0.0,0.0,0.0,0.0,0.0,0.03078142,0.0,0.0,0.0,0.015736397,0.0,0.021615941,0.030204484,0.0,0.035821814,0.0,0.0,0.036370672,0.03145395,0.02359432,0.028886007,0.0,0.0,0.0,0.029950611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031162716,0.0,0.031849585,0.0,0.0,0.0,0.0,0.0,0.05132639,0.0,0.0,0.0,0.04042609,0.0,0.03288299,0.0,0.0,0.0,0.041603968,0.01942715,0.0,0.0,0.11474631,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.052094154,0.031229042,0.0,0.0,0.0,0.026765412,0.0,0.019977015,0.0,0.018823532,0.020883914,0.04685414,0.0,0.0,0.0,0.0,0.03417494,0.0,0.027450904,0.03304393,0.0,0.0,0.017253468,0.0,0.022094432,0.026797807,0.0,0.0,0.0,0.0,0.019577093,0.026475372,0.029992247,0.03483172,0.0,0.0,0.056526233,0.038875766,0.0,0.110485464,0.0,0.0,0.025254395,0.0,0.0,0.024425926,0.0,0.022082925,0.0,0.0,0.0,0.0,0.0,0.052171595,0.0,0.0,0.0,0.05576689,0.0,0.0,0.0,0.0,0.0,0.039927896,0.016006138,0.0,0.0,0.07015762,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
